name,location,category,latitude,longitude,image_url,official_url,designated
Dubai Financial Services Authority (DFSA),Dubai,NA,25.21080464,55.2794068,https://www.moec.gov.ae/documents/84353/1919013/%285%29%20%20%D8%B3%D9%84%D8%B7%D8%A9%20%D8%AF%D8%A8%D9%8A%20%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A%D8%A9.jpg/fb9872c3-fb1b-9cbf-a488-2cf2ba2283b4,https://www.moec.gov.ae/en/-/dubai-financial-services-authority-dfsa-?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Gold & Diamond Park,Dubai,NA,25.12685681,55.21021135,https://www.moec.gov.ae/documents/84353/1919149/%287%29%20%D9%85%D8%AC%D9%85%D8%B9%20%D8%A7%D9%84%D8%B0%D9%87%D8%A8%20%D9%88%D8%A7%D9%84%D8%A3%D9%84%D9%85%D8%A7%D8%B3.jpg/18a43470-7015-12c5-e6f1-a46a783c5f2f,https://www.moec.gov.ae/en/-/gold-diamond-park?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
"The Sharjah Research, Technology, and Innovation Park",Sharjah,NA,25.32300482,55.48815241,https://www.moec.gov.ae/documents/84353/1919299/%2810%29%20%D9%85%D8%AC%D9%85%D8%B9%20%D8%A7%D9%84%D8%B4%D8%A7%D8%B1%D9%82%D8%A9%20%D9%84%D9%84%D8%A8%D8%AD%D9%88%D8%AB%20%D9%88%D8%A7%D9%84%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7%20%D9%88%D8%A7%D9%84%D8%A7%D8%A8%D8%AA%D9%83%D8%A7%D8%B1.jpg/0c9f5392-8c7f-8748-3f97-40f5142945b1,https://www.moec.gov.ae/en/-/the-sharjah-research-technology-and-innovation-park?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
DUBAI AIRPORT FREEZONE,Dubai,NA,25.26057333,55.37287745,https://www.moec.gov.ae/documents/84353/1918913/%282%29%20%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9%20%D8%A7%D9%84%D8%AD%D8%B1%D8%A9%20%D8%A8%D9%85%D8%B7%D8%A7%D8%B1%20%D8%AF%D8%A8%D9%8A.jpg/d51b56b2-173f-81df-186e-01e6a4415920,https://www.moec.gov.ae/en/-/dubai-airport-freezone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,Yes
Sharjah Oasis for Technology and Innovation (SOTI),Sharjah,NA,25.32379984,55.48783171,https://www.moec.gov.ae/documents/84353/1919346/%2811%29%20%D9%88%D8%A7%D8%AD%D8%A9%20%D8%A7%D9%84%D8%B4%D8%A7%D8%B1%D9%82%D8%A9%20%D9%84%D9%84%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7%20%D9%88%D8%A7%D9%84%D8%A7%D8%A8%D8%AA%D9%83%D8%A7%D8%B1.jpg/4acb5aff-c276-d2bd-7c06-13f485a30f44,https://www.moec.gov.ae/en/-/sharjah-oasis-for-technology-and-innovation-soti-?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Dubai Knowledge Park,Dubai,NA,25.1035018,55.16255664,https://www.moec.gov.ae/documents/84353/1919199/%288%29%20%D9%85%D8%AC%D9%85%D8%B9%20%D8%AF%D8%A8%D9%8A%20%D9%84%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9.jpg/7b5a5849-56b2-bb99-1e99-b1edc30424e1,https://www.moec.gov.ae/en/-/dubai-knowledge-park?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D2,
Sharjah Healthcare City,Sharjah,NA,25.31043506,55.56926554,https://www.moec.gov.ae/documents/84353/1919249/%289%29%20%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%A7%D9%84%D8%B4%D8%A7%D8%B1%D9%82%D8%A9%20%D9%84%D9%84%D8%B1%D8%B9%D8%A7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D8%A9.jpg/15feb8aa-b5df-74dc-b84c-73737631c466,https://www.moec.gov.ae/en/-/sharjah-healthcare-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D3,
Ras AlKhaimah Maritime,Ras Al-Khaimah,NA,25.81528172,55.95595014,https://www.moec.gov.ae/documents/84353/1919391/%2812%29%20%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%B1%D8%A3%D8%B3%20%D8%A7%D9%84%D8%AE%D9%8A%D9%85%D8%A9%20%D8%A7%D9%84%D9%85%D9%84%D8%A7%D8%AD%D9%8A%D8%A9.jpg/e4a89811-6053-0d89-698a-4a4e972dcd52,https://www.moec.gov.ae/en/-/ras-alkhaimah-maritime?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D3,Yes
Dubai Auto Zone (DAZ),Dubai,NA,25.17344229,55.37744903,https://www.moec.gov.ae/documents/84353/1919105/%286%29%20%D9%85%D9%86%D8%B7%D9%82%D8%A9%20%D8%AF%D8%A8%D9%8A%20%D9%84%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA.jpg/1d4b41bf-5360-b28c-71e3-7b107ce3e8cd,https://www.moec.gov.ae/en/-/dubai-auto-zone-daz-?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D3,Yes
Ras Al Khaimah Economic Zones (RAKEZ),Ras Al-Khaimah,NA,25.8011785,55.96833508,https://www.moec.gov.ae/documents/84353/1919490/RAKEZ%20Business%20Centre%201.jpg/2b23ebd6-8e4b-fa61-4120-7e684500ce72,https://www.moec.gov.ae/en/-/ras-al-khaimah-economic-zones-rakez-?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D3,Yes
Jebel Ali Free Zone,Dubai,Economic Activities,24.98587301,55.04426898,https://www.moec.gov.ae/documents/20121/196614/JAFZA-%283%29.jpg/883d9421-a77a-60ef-a24a-3bcfccd75b83,https://www.moec.gov.ae/en/-/jebel-ali-free-zone?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D3,Yes
Expo City Dubai,Dubai,NA,24.96108854,55.15077693,https://www.moec.gov.ae/documents/84353/1918969/%284%29%20%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%A7%D9%83%D8%B3%D8%A8%D9%88%20%D8%AF%D8%A8%D9%8A.jpg/ea7e4317-ffbd-8446-3eeb-57e8d6a94221,https://www.moec.gov.ae/en/-/dubai-expo-city?p_l_back_url=%2Fen%2Ffree-zones%3Fstart%3D3,
